Opened Beagle device on port 0
Sampling rate set to 48000 KHz.
Idle timeout set to 500 ms.
Latency set to 200 ms.
Host interface is high speed.

index,time(ns),USB,status,pid,data0 ... dataN(*)
305,2886774916,USB,( OK ),DATA0,c3 6c 00 d3 4f 
306,2886812583,USB,( OK ),ACK,d2 
307,2888750166,USB,( OK ),OUT,e1 2c d0 
308,2888776833,USB,( OK ),DATA1,4b 00 00 
309,2888803166,USB,( OK ),ACK,d2 
310,2890750416,USB,( OK ),SETUP,2d 2c d0 
311,2890777083,USB,( OK ),DATA0,c3 80 06 02 03 09 04 ff 00 97 db 
312,2890846479,USB,( OK ),ACK,d2 
313,2892750000,USB,( OK ),IN,69 2c d0 
314,2892775583,USB,( OK ),DATA1,4b 30 03 44 00 65 00 6c 00 b3 68 
315,2892844000,USB,( OK ),ACK,d2 
316,2892855979,USB,( ),COLLAPSED [1 IN/NAK] 
317,2894750229,USB,( OK ),IN,69 2c d0 
318,2894776104,USB,( OK ),DATA0,c3 6c 00 20 00 55 00 53 00 93 d5 
319,2894844916,USB,( OK ),ACK,d2 
320,2896750479,USB,( OK ),IN,69 2c d0 
321,2896776312,USB,( OK ),DATA1,4b 42 00 20 00 45 00 6e 00 04 11 
322,2896845166,USB,( OK ),ACK,d2 
323,2898750729,USB,( OK ),IN,69 2c d0 
324,2898776229,USB,( OK ),DATA0,c3 74 00 72 00 79 00 20 00 b3 6d 
325,2898844750,USB,( OK ),ACK,d2 
326,2900750979,USB,( OK ),IN,69 2c d0 
327,2900776604,USB,( OK ),DATA1,4b 4b 00 65 00 79 00 62 00 c3 be 
328,2900845666,USB,( OK ),ACK,d2 
329,2900857625,USB,( ),COLLAPSED [1 IN/NAK] 
330,2902751229,USB,( OK ),IN,69 2c d0 
331,2902776791,USB,( OK ),DATA0,c3 6f 00 61 00 72 00 64 00 c0 55 
332,2902846562,USB,( OK ),ACK,d2 
333,2904751479,USB,( OK ),IN,69 2c d0 
334,2904776937,USB,( OK ),DATA1,4b 00 00 
335,2904803479,USB,( OK ),ACK,d2 
336,2906751729,USB,( OK ),OUT,e1 2c d0 
337,2906778395,USB,( OK ),DATA1,4b 00 00 
338,2906804937,USB,( OK ),ACK,d2 
339,2906816958,USB,( ),COLLAPSED [250 IN/NAK] 
340,4909215687,USB,( ),COLLAPSED [250 IN/NAK] 
341,6909432125,USB,( ),COLLAPSED [250 IN/NAK] 
342,8909648020,USB,( ),COLLAPSED [250 IN/NAK] 
343,10909864666,USB,( ),COLLAPSED [250 IN/NAK] 
344,12910080750,USB,( ),COLLAPSED [250 IN/NAK] 
345,14910296937,USB,( ),COLLAPSED [250 IN/NAK] 
346,16910513229,USB,( ),COLLAPSED [250 IN/NAK] 
347,18910729604,USB,( ),COLLAPSED [250 IN/NAK] 
348,20910946062,USB,( ),COLLAPSED [250 IN/NAK] 
349,22911162625,USB,( ),COLLAPSED [250 IN/NAK] 
350,24911378625,USB,( ),COLLAPSED [250 IN/NAK] 
351,26911594687,USB,( ),COLLAPSED [250 IN/NAK] 
352,28911811520,USB,( ),COLLAPSED [250 IN/NAK] 
353,30912027770,USB,( ),COLLAPSED [250 IN/NAK] 
354,32912244104,USB,( ),COLLAPSED [250 IN/NAK] 
355,34912459854,USB,( ),COLLAPSED [250 IN/NAK] 
356,36912676354,USB,( ),COLLAPSED [250 IN/NAK] 
357,38912892270,USB,( ),COLLAPSED [250 IN/NAK] 
358,40913108916,USB,( ),COLLAPSED [250 IN/NAK] 
359,42913325000,USB,( ),COLLAPSED [250 IN/NAK] 
360,44913541125,USB,( ),COLLAPSED [250 IN/NAK] 
361,46913757354,USB,( ),COLLAPSED [250 IN/NAK] 
362,48913973645,USB,( ),COLLAPSED [250 IN/NAK] 
363,50914189354,USB,( ),COLLAPSED [250 IN/NAK] 
364,52914405770,USB,( ),COLLAPSED [250 IN/NAK] 
365,54914622291,USB,( ),COLLAPSED [250 IN/NAK] 
366,56914838187,USB,( ),COLLAPSED [250 IN/NAK] 
367,58915054187,USB,( ),COLLAPSED [250 IN/NAK] 
368,60915270250,USB,( ),COLLAPSED [240 IN/NAK] 
369,62840684687,USB,( OK TGT_DISCON; RESET; ),
370,62851813625,USB,( OK HOST_DISCON; ),
371,0,USB,(error=-7 OK ),
